epoch,train_loss,valid_loss,is_best_epoch
1,1.7918299413043375,1.57408021570562,False
2,1.57256441446397,1.466891110598386,False
3,1.45942388311226,1.4056108443291633,False
4,1.3976793482658263,1.364096551151066,False
5,1.3372249222995607,1.331159993842408,False
6,1.292299411995597,1.3078508036477225,False
7,1.2551394555108712,1.2887472634787087,False
8,1.2279261689474024,1.2716859644585914,False
9,1.1958306622610528,1.253589554147406,False
10,1.1714694529815697,1.2431501346630054,False
11,1.1527763867940046,1.2304364822723053,False
12,1.1317370377865035,1.2210173790271466,False
13,1.1147659665179357,1.2132258258023105,False
14,1.100101418909514,1.2050286177750473,False
15,1.0970287200453004,1.2006200800885212,False
16,1.082147207263643,1.195055704850417,False
17,1.0555250141862917,1.1919387513464623,False
18,1.0561776708081825,1.1951050129565564,False
19,1.036128755311025,1.1849956800649455,False
20,1.0292380331893383,1.1835419935184521,False
21,1.023051546494283,1.1828941591493376,False
22,1.0129417444890658,1.1821314987245497,False
23,1.0075452335453174,1.1830989633287703,False
24,0.9965741233376235,1.1768368626688863,False
25,0.9894416992372898,1.1779562431377368,False
26,0.9814039376417562,1.1755084821156092,False
27,0.9718420564513846,1.1785329606506851,False
28,0.9737818349619151,1.1770867973893553,False
29,0.9561277689041902,1.174445969717843,True
30,0.9578027849520429,1.1790764528316455,False
31,0.950474092711054,1.1750799613994556,False
32,0.9411216658415253,1.1794667505955958,False
33,0.9354012829214554,1.181598690839914,False
34,0.9323841087948065,1.178441034568535,False
35,0.9233209638075905,1.1819355579522939,False
36,0.9140909707598904,1.1848959424993495,False
37,0.908358830959702,1.184618680031745,False
38,0.9078175358989979,1.182571679681212,False
39,0.9023188541932731,1.1845361099138365,False
40,0.8939881195551517,1.1857695749827795,False
41,0.8812492801971042,1.1795938145983351,False
42,0.8874317412523879,1.1890349152323965,False
43,0.8735615700439431,1.1895054565681207,False
44,0.8700356191668841,1.1913592736799639,False
45,0.8661376056334056,1.1913432747453123,False
46,0.8598739639648808,1.1900949766347697,False
47,0.8566497215466226,1.1957286910696343,False
48,0.8547135668755982,1.2000793441311344,False
49,0.8484982435850753,1.198322390462016,False
50,0.8410989238517098,1.2055297251586075,False
