sample_id,split,modality,start_index,end_index,impact_score,is_top_k
05,attachment4,audio,49,49,0.0018820513505488634,False
05,attachment4,vision,0,6,0.03220578283071518,True
05,attachment4,vision,7,13,0.011269699782133102,False
05,attachment4,vision,14,20,0.02142244204878807,True
05,attachment4,vision,21,27,0.012960921972990036,False
05,attachment4,vision,28,34,0.013023238629102707,False
05,attachment4,vision,35,41,0.012821710668504238,False
05,attachment4,vision,42,48,0.013567278161644936,True
05,attachment4,vision,49,49,0.0017240468878298998,False
06,attachment4,text,0,6,0.051431804895401,True
06,attachment4,text,7,13,0.03304878994822502,False
06,attachment4,text,14,20,0.01957187056541443,False
06,attachment4,text,21,27,0.008687485009431839,False
06,attachment4,text,28,34,0.05009213089942932,True
06,attachment4,text,35,41,0.03114006295800209,False
06,attachment4,text,42,48,0.04344186559319496,True
06,attachment4,text,49,49,0.005864416249096394,False
06,attachment4,audio,0,6,0.0043142326176166534,False
06,attachment4,audio,7,13,0.008819476701319218,True
06,attachment4,audio,14,20,0.0033180098980665207,False
06,attachment4,audio,21,27,0.006866811774671078,True
06,attachment4,audio,28,34,0.006744304671883583,False
06,attachment4,audio,35,41,0.03080791048705578,False
06,attachment4,audio,42,48,0.0380190871655941,True
06,attachment4,audio,49,49,0.007026230450719595,False
06,attachment4,vision,0,6,0.02200429141521454,True
06,attachment4,vision,7,13,0.02447211928665638,False
06,attachment4,vision,14,20,0.027071941643953323,True
06,attachment4,vision,21,27,0.030869413167238235,False
06,attachment4,vision,28,34,0.032821860164403915,True
06,attachment4,vision,35,41,0.01088280975818634,False
06,attachment4,vision,42,48,0.006729430519044399,False
06,attachment4,vision,49,49,0.0016198046505451202,False
07,attachment4,text,0,6,0.08272730559110641,True
07,attachment4,text,7,13,0.05601098760962486,False
07,attachment4,text,14,20,0.0012299232184886932,False
07,attachment4,text,21,27,0.03536844998598099,True
07,attachment4,text,28,34,0.00446952972561121,False
07,attachment4,text,35,41,0.06263907998800278,True
07,attachment4,text,42,48,0.051187630742788315,False
07,attachment4,text,49,49,0.007156761363148689,False
07,attachment4,audio,0,6,0.04850731045007706,False
07,attachment4,audio,7,13,0.05772298946976662,True
07,attachment4,audio,14,20,0.015858737751841545,False
07,attachment4,audio,21,27,0.05449758470058441,True
07,attachment4,audio,28,34,0.04186105355620384,False
07,attachment4,audio,35,41,0.045548588037490845,True
07,attachment4,audio,42,48,0.04192979261279106,False
07,attachment4,audio,49,49,0.009067649953067303,False
07,attachment4,vision,0,6,0.029742565006017685,False
07,attachment4,vision,7,13,0.050748590379953384,True
07,attachment4,vision,14,20,0.04655379801988602,False
07,attachment4,vision,21,27,0.04540548473596573,True
07,attachment4,vision,28,34,0.03784114494919777,False
07,attachment4,vision,35,41,0.035324957221746445,False
07,attachment4,vision,42,48,0.03978389874100685,True
07,attachment4,vision,49,49,0.017724329605698586,False
08,attachment4,text,0,6,0.0522899404168129,True
08,attachment4,text,7,13,0.005626162979751825,False
08,attachment4,text,14,20,0.010961569845676422,False
08,attachment4,text,21,27,0.030373429879546165,True
08,attachment4,text,28,34,0.026649918407201767,False
08,attachment4,text,35,41,0.018271848559379578,True
08,attachment4,text,42,48,0.004251730628311634,False
08,attachment4,text,49,49,0.003017561975866556,False
08,attachment4,audio,0,6,0.011615056544542313,False
08,attachment4,audio,7,13,0.02660440094769001,True
08,attachment4,audio,14,20,0.032879605889320374,False
08,attachment4,audio,21,27,0.03339243680238724,True
08,attachment4,audio,28,34,0.03302787244319916,False
08,attachment4,audio,35,41,0.033073343336582184,False
08,attachment4,audio,42,48,0.03308597207069397,True
08,attachment4,audio,49,49,0.005031050182878971,False
08,attachment4,vision,0,6,0.05240703746676445,False
08,attachment4,vision,7,13,0.05171995609998703,False
08,attachment4,vision,14,20,0.0625123679637909,True
08,attachment4,vision,21,27,0.062125835567712784,False
08,attachment4,vision,28,34,0.06200917437672615,True
08,attachment4,vision,35,41,0.06197847053408623,False
08,attachment4,vision,42,48,0.06263332813978195,True
08,attachment4,vision,49,49,0.010579390451312065,False
09,attachment4,text,0,6,0.007360201794654131,False
09,attachment4,text,7,13,0.013290164060890675,True
09,attachment4,text,14,20,0.06638459861278534,False
09,attachment4,text,21,27,0.07684071362018585,True
09,attachment4,text,28,34,0.030928703024983406,False
09,attachment4,text,35,41,0.084506556391716,False
09,attachment4,text,42,48,0.12809094786643982,True
09,attachment4,text,49,49,0.013689202256500721,False
09,attachment4,audio,0,6,0.067410409450531,True
09,attachment4,audio,7,13,0.03398533910512924,False
09,attachment4,audio,14,20,0.05248759314417839,True
09,attachment4,audio,21,27,0.02245049551129341,False
09,attachment4,audio,28,34,0.022427786141633987,True
09,attachment4,audio,35,41,0.022379692643880844,False
09,attachment4,audio,42,48,0.022381341084837914,False
09,attachment4,audio,49,49,0.003649003803730011,False
09,attachment4,vision,0,6,0.027674568817019463,False
09,attachment4,vision,7,13,0.05258867144584656,True
09,attachment4,vision,14,20,0.030290277674794197,False
09,attachment4,vision,21,27,0.010240137577056885,True
09,attachment4,vision,28,34,0.010113917291164398,False
09,attachment4,vision,35,41,0.010522606782615185,True
09,attachment4,vision,42,48,0.010265586897730827,False
09,attachment4,vision,49,49,0.0013138941721990705,False
10,attachment4,text,0,6,0.07070931047201157,True
10,attachment4,text,7,13,0.03843340277671814,False
10,attachment4,text,14,20,0.06649895757436752,False
10,attachment4,text,21,27,0.08272723853588104,True
10,attachment4,text,28,34,0.17411044239997864,False
10,attachment4,text,35,41,0.20638437569141388,True
10,attachment4,text,42,48,0.07161400467157364,False
10,attachment4,text,49,49,0.02021614834666252,False
10,attachment4,audio,0,6,0.08340385556221008,False
10,attachment4,audio,7,13,0.10362796485424042,True
10,attachment4,audio,14,20,0.07920539379119873,False
10,attachment4,audio,21,27,0.13549908995628357,True
10,attachment4,audio,28,34,0.07716203480958939,False
10,attachment4,audio,35,41,0.04259691759943962,True
10,attachment4,audio,42,48,0.04245670884847641,False
10,attachment4,audio,49,49,0.00584108941257,False
10,attachment4,vision,0,6,0.09313066303730011,True
10,attachment4,vision,7,13,0.06202498450875282,False
10,attachment4,vision,14,20,0.05605216324329376,False
10,attachment4,vision,21,27,0.06484575569629669,True
10,attachment4,vision,28,34,0.026699233800172806,False
10,attachment4,vision,35,41,0.014432732947170734,True
10,attachment4,vision,42,48,0.0141676040366292,False
10,attachment4,vision,49,49,0.0011336725438013673,False
11,attachment4,text,0,6,0.13389313220977783,True
11,attachment4,text,7,13,0.0704941600561142,False
11,attachment4,text,14,20,0.16469167172908783,True
11,attachment4,text,21,27,0.12763144075870514,False
11,attachment4,text,28,34,0.09509015083312988,False
11,attachment4,text,35,41,0.03935821354389191,False
11,attachment4,text,42,48,0.12027765810489655,True
11,attachment4,text,49,49,0.018352193757891655,False
11,attachment4,audio,0,6,0.019186777994036674,False
11,attachment4,audio,7,13,0.008803718723356724,False
11,attachment4,audio,14,20,0.06199685111641884,True
11,attachment4,audio,21,27,0.060709286481142044,False
11,attachment4,audio,28,34,0.0603775791823864,True
11,attachment4,audio,35,41,0.060090094804763794,False
11,attachment4,audio,42,48,0.06069468706846237,True
11,attachment4,audio,49,49,0.010060139000415802,False
11,attachment4,vision,0,6,0.029162166640162468,False
11,attachment4,vision,7,13,0.045919351279735565,True
11,attachment4,vision,14,20,0.011628109961748123,False
11,attachment4,vision,21,27,0.00809016078710556,False
11,attachment4,vision,28,34,0.008126523345708847,True
11,attachment4,vision,35,41,0.007999411784112453,False
11,attachment4,vision,42,48,0.00788046233355999,True
11,attachment4,vision,49,49,0.000821727910079062,False
12,attachment4,text,0,6,0.02238314412534237,False
12,attachment4,text,7,13,0.04179295152425766,True
12,attachment4,text,14,20,0.09460235387086868,False
12,attachment4,text,21,27,0.12203069031238556,True
12,attachment4,text,28,34,0.03341551497578621,False
12,attachment4,text,35,41,0.07207126915454865,False
12,attachment4,text,42,48,0.07579324394464493,True
12,attachment4,text,49,49,0.0041394708678126335,False
12,attachment4,audio,0,6,0.06038615107536316,False
12,attachment4,audio,7,13,0.06869769096374512,True
12,attachment4,audio,14,20,0.06214802339673042,False
12,attachment4,audio,21,27,0.05729945749044418,False
12,attachment4,audio,28,34,0.08416296541690826,True
12,attachment4,audio,35,41,0.037999678403139114,False
12,attachment4,audio,42,48,0.04453864321112633,True
12,attachment4,audio,49,49,0.006310941185802221,False
12,attachment4,vision,0,6,0.022132577374577522,False
12,attachment4,vision,7,13,0.023296602070331573,True
12,attachment4,vision,14,20,0.014574489556252956,False
12,attachment4,vision,21,27,0.02579480968415737,True
12,attachment4,vision,28,34,0.02378890849649906,False
12,attachment4,vision,35,41,0.028605196624994278,True
12,attachment4,vision,42,48,0.010484017431735992,False
12,attachment4,vision,49,49,0.0009413606021553278,False
13,attachment4,text,0,6,0.015654543414711952,False
13,attachment4,text,7,13,0.03214967995882034,True
