sample_id,modality,rank,start_index,end_index,impact_score,time_source
10,text,2,0,4,0.11520977318286896,aligned_window_index; source mapping required
10,text,3,30,34,0.05058133602142334,aligned_window_index; source mapping required
10,audio,1,25,29,0.04878007620573044,aligned_window_index; source mapping required
10,audio,2,15,19,0.04466162994503975,aligned_window_index; source mapping required
10,audio,3,40,44,0.03547494858503342,aligned_window_index; source mapping required
10,vision,1,25,29,0.053337566554546356,aligned_window_index; source mapping required
10,vision,2,0,4,0.03732740134000778,aligned_window_index; source mapping required
10,vision,3,10,14,0.036545928567647934,aligned_window_index; source mapping required
11,text,1,0,4,0.13871262967586517,aligned_window_index; source mapping required
11,text,2,30,34,0.08121281117200851,aligned_window_index; source mapping required
11,text,3,10,14,0.05771719664335251,aligned_window_index; source mapping required
11,audio,1,5,9,0.048816751688718796,aligned_window_index; source mapping required
11,audio,2,30,34,0.019732031971216202,aligned_window_index; source mapping required
11,audio,3,15,19,0.019532043486833572,aligned_window_index; source mapping required
11,vision,1,5,9,0.03565011918544769,aligned_window_index; source mapping required
11,vision,2,15,19,0.01574758067727089,aligned_window_index; source mapping required
11,vision,3,35,39,0.014905160292983055,aligned_window_index; source mapping required
12,text,1,0,4,0.10430972278118134,aligned_window_index; source mapping required
12,text,2,30,34,0.06827971339225769,aligned_window_index; source mapping required
12,text,3,20,24,0.04787563905119896,aligned_window_index; source mapping required
12,audio,1,5,9,0.0705227479338646,aligned_window_index; source mapping required
12,audio,2,20,24,0.05021122097969055,aligned_window_index; source mapping required
12,audio,3,30,34,0.0476888082921505,aligned_window_index; source mapping required
12,vision,1,25,29,0.028488613665103912,aligned_window_index; source mapping required
12,vision,2,0,4,0.01553366519510746,aligned_window_index; source mapping required
12,vision,3,45,49,0.011784084141254425,aligned_window_index; source mapping required
13,text,1,40,44,0.17081397771835327,aligned_window_index; source mapping required
13,text,2,20,24,0.14512783288955688,aligned_window_index; source mapping required
13,text,3,5,9,0.1004045233130455,aligned_window_index; source mapping required
13,audio,1,20,24,0.08260257542133331,aligned_window_index; source mapping required
13,audio,2,0,4,0.043809808790683746,aligned_window_index; source mapping required
13,audio,3,10,14,0.025768274441361427,aligned_window_index; source mapping required
13,vision,1,5,9,0.0008840212831273675,aligned_window_index; source mapping required
13,vision,2,45,49,0.0008546517346985638,aligned_window_index; source mapping required
13,vision,3,30,34,0.0007997887441888452,aligned_window_index; source mapping required
14,text,1,40,44,0.17083001136779785,aligned_window_index; source mapping required
14,text,2,20,24,0.11545023322105408,aligned_window_index; source mapping required
14,text,3,5,9,0.07497435808181763,aligned_window_index; source mapping required
14,audio,1,10,14,0.0926341637969017,aligned_window_index; source mapping required
14,audio,2,30,34,0.06904470920562744,aligned_window_index; source mapping required
14,audio,3,20,24,0.0518285371363163,aligned_window_index; source mapping required
14,vision,1,5,9,0.05120685324072838,aligned_window_index; source mapping required
14,vision,2,25,29,0.04197850823402405,aligned_window_index; source mapping required
14,vision,3,40,44,0.012343378737568855,aligned_window_index; source mapping required
15,text,1,15,19,0.07415173947811127,aligned_window_index; source mapping required
15,text,2,35,39,0.04217618331313133,aligned_window_index; source mapping required
