epoch,train_loss,valid_loss,train_batches,valid_batches,optimizer_steps,epoch_seconds,parameter_l2_norm
1,1.7918299413043375,1.57408021570562,54,12,54,1.6379467000078876,38.91745480541494
2,1.57256441446397,1.466891110598386,54,12,54,1.4422691999934614,38.91868453009541
3,1.45942388311226,1.4056108443291633,54,12,54,1.4421967000234872,38.91998260431595
4,1.3976793482658263,1.364096551151066,54,12,54,1.4552550000080373,38.92124038314235
5,1.3372249222995607,1.331159993842408,54,12,54,1.4219272999907844,38.92248869180027
6,1.292299411995597,1.3078508036477225,54,12,54,1.411636799981352,38.92366062153619
7,1.2551394555108712,1.2887472634787087,54,12,54,1.4001733000040986,38.9251373745761
8,1.2279261689474024,1.2716859644585914,54,12,54,1.4048181000107434,38.926701443167495
9,1.1958306622610528,1.253589554147406,54,12,54,1.3878117999993265,38.92835157152737
10,1.1714694529815697,1.2431501346630054,54,12,54,1.3936307999829296,38.92950632737162
11,1.1527763867940046,1.2304364822723053,54,12,54,1.441393099987181,38.93119997706679
12,1.1317370377865035,1.2210173790271466,54,12,54,1.4006557000102475,38.93300701117949
13,1.1147659665179357,1.2132258258023105,54,12,54,1.3998918999859598,38.93485079998581
14,1.100101418909514,1.2050286177750473,54,12,54,1.4125041000079364,38.93652689446068
15,1.0970287200453004,1.2006200800885212,54,12,54,1.3907612999901175,38.938559087365135
16,1.082147207263643,1.195055704850417,54,12,54,1.3967906000034418,38.94043573861314
17,1.0555250141862917,1.1919387513464623,54,12,54,1.4151472999947146,38.942749834107296
18,1.0561776708081825,1.1951050129565564,54,12,54,1.4146968999993987,38.944776931799446
19,1.036128755311025,1.1849956800649455,54,12,54,1.4091385999927297,38.946867879341596
20,1.0292380331893383,1.1835419935184521,54,12,54,1.3973043999867514,38.94891350610231
21,1.023051546494283,1.1828941591493376,54,12,54,1.4047662999946624,38.95135243461149
22,1.0129417444890658,1.1821314987245497,54,12,54,1.4130546000087634,38.95355774958158
23,1.0075452335453174,1.1830989633287703,54,12,54,1.409547699993709,38.95586299911405
24,0.9965741233376235,1.1768368626688863,54,12,54,1.409210100013297,38.95807845232834
25,0.9894416992372898,1.1779562431377368,54,12,54,1.4126567000057548,38.96070726382295
26,0.9814039376417562,1.1755084821156092,54,12,54,1.4003168000199366,38.963163510997745
27,0.9718420564513846,1.1785329606506851,54,12,54,1.4031744999811053,38.965605639519175
28,0.9737818349619151,1.1770867973893553,54,12,54,1.4186763000034261,38.96795202320833
29,0.9561277689041902,1.174445969717843,54,12,54,1.4065646999806631,38.97067068271575
30,0.9578027849520429,1.1790764528316455,54,12,54,1.405773099977523,38.97308232994466
31,0.950474092711054,1.1750799613994556,54,12,54,1.408727000001818,38.9756500413687
32,0.9411216658415253,1.1794667505955958,54,12,54,1.3887853999913204,38.978384529522806
33,0.9354012829214554,1.181598690839914,54,12,54,1.411256699997466,38.9813870081734
34,0.9323841087948065,1.178441034568535,54,12,54,1.4316746999975294,38.98397456363293
35,0.9233209638075905,1.1819355579522939,54,12,54,1.437369999999646,38.987194556909564
36,0.9140909707598904,1.1848959424993495,54,12,54,1.4263138999813236,38.99032196956011
37,0.908358830959702,1.184618680031745,54,12,54,1.439931599976262,38.99319185927457
38,0.9078175358989979,1.182571679681212,54,12,54,1.4297907000000123,38.996407378977764
39,0.9023188541932731,1.1845361099138365,54,12,54,1.4250919999904,38.99947778463172
40,0.8939881195551517,1.1857695749827795,54,12,54,1.4241374999983236,39.00244492593034
41,0.8812492801971042,1.1795938145983351,54,12,54,1.410574599984102,39.00516704026355
42,0.8874317412523879,1.1890349152323965,54,12,54,1.4150803000084125,39.008324913046835
43,0.8735615700439431,1.1895054565681207,54,12,54,1.4133937000005972,39.01143256633727
44,0.8700356191668841,1.1913592736799639,54,12,54,1.4010519000003114,39.014523612171864
45,0.8661376056334056,1.1913432747453123,54,12,54,1.402323600021191,39.017430006032356
46,0.8598739639648808,1.1900949766347697,54,12,54,1.4047460999863688,39.02094429599272
47,0.8566497215466226,1.1957286910696343,54,12,54,1.397083499992732,39.024138571385414
48,0.8547135668755982,1.2000793441311344,54,12,54,1.406195799994748,39.02744248491362
49,0.8484982435850753,1.198322390462016,54,12,54,1.4076996000076178,39.03061323057191
50,0.8410989238517098,1.2055297251586075,54,12,54,1.3992589999979828,39.034344485218114
