epoch,train_loss,valid_loss,train_batches,valid_batches,optimizer_steps,epoch_seconds,parameter_l2_norm
1,1.4524656003634604,1.256889440201141,54,12,54,1.689242499996908,38.92826777906638
2,1.1494737770490688,1.1897410180542496,54,12,54,1.4495953999867197,38.94505864822243
3,1.0546434014113908,1.1489234455339201,54,12,54,1.436522599979071,38.96526652850098
4,0.9974921464744478,1.161474965430878,54,12,54,1.4274877000134438,38.98894760422715
5,0.9497940397929724,1.1615837799323785,54,12,54,1.4277084000059403,39.01663025031031
6,0.9011425944245441,1.1791998973259559,54,12,54,1.430161099997349,39.04949718596377
7,0.8670886266213981,1.1684036608580703,54,12,54,1.4222670999879483,39.08889712191145
8,0.8263327326093401,1.226613985313164,54,12,54,1.4406466000073124,39.129867921920635
9,0.7921278123476369,1.2363435540880476,54,12,54,1.433675799984485,39.17384059650842
10,0.7548390844258012,1.2597642966679163,54,12,54,1.425018599984469,39.220922803501466
11,0.7191887951739934,1.2829715956698406,54,12,54,1.4365854000207037,39.27153496380939
12,0.6873450526432717,1.3248841028947096,54,12,54,1.425038899993524,39.32174817743183
13,0.6489197208884889,1.3266726561955042,54,12,54,1.427106699993601,39.37868593848181
14,0.6090466979150393,1.3859765529632568,54,12,54,1.422993000014685,39.43336325260456
15,0.5779340850060397,1.4127528510250889,54,12,54,1.4179759999969974,39.49744691502312
16,0.5390874547881125,1.4770341600690569,54,12,54,1.4313296000182163,39.559896822976185
17,0.49636162139354645,1.5290498668020898,54,12,54,1.4336478000041097,39.620700806757874
18,0.4589022698607817,1.6151024797460536,54,12,54,1.4307134000118822,39.68532410723278
19,0.4204625759893735,1.5736003105457013,54,12,54,1.4301050000067335,39.74279223645024
20,0.38589330639509106,1.757245624458397,54,12,54,1.4133180000062566,39.802347725705154
